raw_string,old_ror_name,new_ror_name,reason,chosen_score
"Department of Pharmaceutical Analysis, School of Pharmacy, Second Military Medical University, Shanghai, China",Second Military Medical University,Naval Medical University,rule_match_disagree,1.0
"Department of Osteopathy and Traumatology, The First Affiliated Hospital of Zhejiang Chinese Medical University, Hangzhou, China",First Affiliated Hospital Zhejiang University,Zhejiang Chinese Medical University,rule_match_disagree,0.84
"Department of Cardiology, Shuguang Hospital Affiliated to Shanghai University of Traditional Chinese Medicine, Shanghai, China",Second Affiliated Hospital of Hunan University of Traditional Chinese Medicine,Shanghai University of Traditional Chinese Medicine,rule_match_disagree,0.83
"Shanghai Institute of Materia Medica, Shanghai Institutes for Biological Sciences, Chinese Academy of Sciences, Shanghai 201203, 555 Zuchongzhi Road, China",Shanghai Institutes for Biological Sciences,Shanghai Institute of Materia Medica,rule_match_disagree,1.0
"Graduate School, Hunan University of Chinese Medicine, Hunan, Changsha, China",Hunan University,Hunan University of Chinese Medicine,rule_match_disagree,1.0
"Department of Pharmacy, Changhai Hospital, Second Military Medical University, Shanghai 200433, Changhai Road 174, China",Changhai Hospital,Naval Medical University,rule_match_disagree,1.0
"E-Institute of Shanghai Municipal Education Committee, Shanghai University of Traditional Chinese Medicine, Shanghai, China",Shanghai University,Shanghai University of Traditional Chinese Medicine,rule_match_disagree,1.0
"Shanghai Innovation Center of TCM Health Service, Shanghai University of Traditional Chinese Medicine, Shanghai, China",Shanghai University,Shanghai University of Traditional Chinese Medicine,rule_match_disagree,1.0
"School of Pharmacy, Second Military Medical University, Shanghai 200433, No. 325 Guohe Road, China",Second Military Medical University,Naval Medical University,rule_match_disagree,1.0
"Shanghai Univ Tradit Chinese Med, Sch Pharm, 1200 Cai lun Rd, Shanghai 201203, Peoples R China",Shanghai University,Shanghai University of Traditional Chinese Medicine,rule_match_disagree,0.75
"Shanghai Univ Tradit Chinese Med, Expt Ctr Sci & Technol, Shanghai, Peoples R China",Shanghai University,Shanghai University of Traditional Chinese Medicine,rule_match_disagree,0.67
"Kanion Research Institute, Shanghai University of Traditional Chinese Medicine, Shanghai, China",Shanghai University,Shanghai University of Traditional Chinese Medicine,rule_match_disagree,1.0
"2nd Affiliated Hospital of Liaoning University of Traditional Chinese Medicine, Shenyang, China",Affiliated Hospital of Liaoning University of Traditional Chinese Medicine,Liaoning University of Traditional Chinese Medicine,rule_match_disagree,1.0
"School of Pharmacy, The Second Military Medical University, Shanghai, China",Second Military Medical University,Naval Medical University,rule_match_disagree,1.0
"Department of Traditional Chinese Medicine, Nanjing Drum Tower Hospital Clinical College of Nanjing University of Chinese Medicine, Nanjing, China",Nanjing Drum Tower Hospital,Nanjing University of Chinese Medicine,rule_match_disagree,1.0
"Department of Pharmacy, Changzheng Hospital, Naval Medical University (Second Military Medical University), Shanghai, China",Shanghai Changzheng Hospital,Naval Medical University,rule_match_disagree,0.82
"Shanghai Key Laboratory for Pharmaceutical Metabolite Research, Naval Medical University (Second Military Medica University), Shanghai, China",Xinqiao Hospital,Naval Medical University,rule_match_disagree,0.71
"Scientific Technology Experiment Center, Shanghai University of Traditional Chinese Medicine, Shanghai 201203, China",Shanghai University,Shanghai University of Traditional Chinese Medicine,rule_match_disagree,1.0
"Shanghai Univ Tradit Chinese Med, Key Lab Standardizat Chinese Med, Minist Educ, Inst Chinese Mat Med, Shanghai 201210, Peoples R China",Shanghai University,Shanghai University of Traditional Chinese Medicine,rule_match_disagree,0.75
"Shanghai R&D Ctr Standardizat Chinese Med, Shanghai 201210, Peoples R China",Shanghai University,(unmatched),catch_all_no_rule,0.75
"SATCM Key Lab New Resources & Qual Evaluat Chines, Shanghai 201210, Peoples R China",Shanghai University,(unmatched),catch_all_no_rule,0.75
"First Teaching Hospital of Tianjin University of Traditional Chinese Medicine, NO. 88 Changling Road, Xiqing District, Tianjin, 300381, China",First Teaching Hospital of Tianjin University of Traditional Chinese Medicine,Tianjin University of Traditional Chinese Medicine,rule_match_disagree,1.0
"Shanghai Univ Tradit Chinese Med, Shuguang Hosp, Clin Pharmacokinet Lab, 528 Zhangheng Rd, Shanghai 201203, Peoples R China",Shuguang Hospital,Shanghai University of Traditional Chinese Medicine,rule_match_disagree,0.87
"Shanghai Univ Tradit Chinese Med, Shuguang Hosp, Dept Med Oncol, Shanghai 200062, Peoples R China",Shuguang Hospital,Shanghai University of Traditional Chinese Medicine,rule_match_disagree,0.87
"Shanghai Univ Tradit Chinese Med, Shanghai Shuguang Hosp, Cardiovasc Dept, Shanghai 201203, Peoples R China",Shanghai University,Shanghai University of Traditional Chinese Medicine,rule_match_disagree,0.75
"The Second Affiliated Hospital of Nanjing University of Chinese Medicine, Nanjing, 210017, China",Nanjing University,Nanjing University of Chinese Medicine,rule_match_disagree,1.0
"Department of Neurology, Affiliated Hospital of Shandong University of Traditional Chinese Medicine, Jinan, China",Affiliated Hospital of Shandong University of Traditional Chinese Medicine,Shandong University of Traditional Chinese Medicine,rule_match_disagree,1.0
"Shuguang Hospital, Affiliated to Shanghai University, Traditional Chinese Medicine, Shanghai 200021, China",Shanghai University,(unmatched),catch_all_no_rule,1.0
"Engineering Research Center of Modern Preparation Technology of TCM, Ministry of Education, Shanghai University, Shanghai 201203, No.1200 Cailun Road, China",Shanghai University,(unmatched),catch_all_no_rule,1.0
"College of Chinese Material Medica, Shanghai University, Traditional Chinese Medicine, Shanghai 201203, China",Shanghai University,(unmatched),catch_all_no_rule,1.0
"Department of Pharmacology, Shanghai University of Traditional Chinese Medicine, 1200 Cai Lun Road, Shanghai, 201203, China",Shanghai University,Shanghai University of Traditional Chinese Medicine,rule_match_disagree,1.0
"Second Mil Med Univ, Sch Pharm, Dept Pharm, Eastern Hepatobiliary Surg Hosp, Shanghai 200438, Peoples R China",Eastern Hepatobiliary Surgery Hospital,Naval Medical University,rule_match_disagree,0.9
"Second Mil Med Univ, Sch Pharm, Dept Pharmaceut Anal, Shanghai 200433, Peoples R China",Shanghai University,Naval Medical University,rule_match_disagree,0.75
