cluster_id,topic_label,mechanism,observed,expected,topic_total,mech_total,odds_ratio,log2_or_haldane,p_value,direction,q_value,significant
21,arthritis / pharmacology / network pharmacology,signaling_pathway_modulation,1,0.13,3,78,10.766233766233766,3.683,0.12875622344116414,enriched,0.5081578951811278,False
10,hormone / testosterone / estrogenic,CYP_induction,0,2.17,18,210,0.0,-2.366,0.1535541837190066,depleted,0.5941442925598164,False
27,metabolites / pharmacokinetic / pharmacokinetics,CYP_induction,0,2.17,18,210,0.0,-2.366,0.1535541837190066,depleted,0.5941442925598164,False
27,metabolites / pharmacokinetic / pharmacokinetics,receptor_synergism,0,2.17,18,210,0.0,-2.366,0.1535541837190066,depleted,0.5941442925598164,False
5,antidepressants / antidepressant / wort sjw,CYP_inhibition,5,9.01,30,522,0.46073500967117986,-1.01,0.15755300505109146,depleted,0.6052896664405614,False
12,ckd / chronic kidney / kidney injury,CYP_induction,0,2.42,20,210,0.0,-2.516,0.15847955793629565,depleted,0.6052896664405614,False
17,hepatoprotective / hepatotoxicity / liver injury,receptor_antagonism,0,2.19,123,31,0.0,-2.296,0.16358748632826098,depleted,0.620793537861093,False
24,inhibition ugt / inhibited ugt / ugt isoforms,additive_toxicity,0,2.19,100,38,0.0,-2.274,0.16573645223572983,depleted,0.6212080522099288,False
11,anticancer / chemotherapy / cancer,receptor_antagonism,9,5.92,332,31,1.752884886011821,0.854,0.16628968830906493,enriched,0.6212080522099288,False
9,pxr cyp / pxr-mediated / receptor pxr,absorption_alteration,0,2.22,46,84,0.0,-2.289,0.16684473023881535,depleted,0.6212080522099288,False
9,pxr cyp / pxr-mediated / receptor pxr,organ_toxicity_modulation,0,2.33,46,88,0.0,-2.359,0.16796694514958418,depleted,0.6214776970534615,False
6,warfarin / patients warfarin / anticoagulants,synergistic_efficacy,1,3.67,35,182,0.24731881702957426,-1.455,0.1693086900694315,depleted,0.6221127874615594,False
2,antidiabetic / herb-drug / hypoglycemic,UGT_inhibition,0,2.41,59,71,0.0,-2.403,0.17119191763481156,depleted,0.6221127874615594,False
32,drug transporters / transporter-mediated / anion transporter,organ_toxicity_modulation,0,2.43,48,88,0.0,-2.421,0.1712911897909361,depleted,0.6221127874615594,False
28,medicinal plants / anxiolytic / antiepileptic drugs,absorption_alteration,0,2.51,52,84,0.0,-2.469,0.1755862714098375,depleted,0.6338236138696574,False
26,herb-drug interactions / drug interactions / anticancer drug,CYP_inhibition,5,3.0,10,522,2.3423597678916828,1.227,0.17801400537970863,enriched,0.6382623263694798,False
23,antimicrobial / antibiotics / antibacterial,P-gp_inhibition,1,3.94,64,107,0.2348008385744235,-1.523,0.17897220638063116,depleted,0.6382623263694798,False
20,cancer / network pharmacology / pathways,organ_toxicity_modulation,2,0.81,16,88,2.7176079734219267,1.706,0.19253840296615674,enriched,0.6825313446464958,False
25,phytochemistry pharmacology / pharmacological activities / p,additive_toxicity,1,0.22,10,38,5.078078078078078,2.832,0.1988031908599609,enriched,0.6979251845476492,False
3,drug interactions / antiretroviral drugs / antiretroviral,CYP_induction,5,2.9,24,210,1.9370988446726574,1.051,0.19923877734552822,enriched,0.6979251845476492,False
5,antidepressants / antidepressant / wort sjw,P-gp_induction,1,0.22,30,13,4.873563218390805,2.787,0.20319653070362612,enriched,0.700688725002619,False
37,herbal supplements / herbal products / herbal drugs,CYP_induction,2,0.85,7,210,2.9288461538461537,1.732,0.2032191381629743,enriched,0.700688725002619,False
30,cyp inhibition / cyp enzymes / cyp isoforms,P-gp_induction,1,3.39,453,13,0.2346976401179941,-1.566,0.20374829100205027,depleted,0.700688725002619,False
19,pharmacology / network pharmacology / docking,signaling_pathway_modulation,1,0.22,5,78,5.376623376623376,2.833,0.20535353186241825,enriched,0.700688725002619,False
17,hepatoprotective / hepatotoxicity / liver injury,transporter_modulation,3,6.51,123,92,0.42865168539325843,-1.013,0.20594567255144547,depleted,0.700688725002619,False
