tier,herb_family,mechanism,obs,expected,row_total,col_total,N_tier,OR_raw,OR_ha,log2_OR_ha,p,q,classification
family,Menispermaceae,P-gp_inhibition,1,0.8274231678486997,14,50,846,1.2291993720565149,1.7586980920314255,0.8145078429506584,0.5767169147133925,1.0,ns
family,Phyllanthaceae,synergistic_efficacy,1,0.8321513002364066,11,64,846,1.2253968253968255,1.7379077615298089,0.797351513961967,0.5813322964166712,1.0,ns
family,Polygonaceae,CYP_inhibition,9,11.049645390070921,38,246,846,0.7477084242688782,0.7749152542372881,-0.36788955092208775,0.5838411520948434,1.0,ns
family,Ginkgoaceae,signaling_pathway_modulation,1,0.8865248226950354,25,30,846,1.1379310344827587,1.644759598754756,0.7178767322708762,0.5998534322523073,1.0,ns
family,Ranunculaceae,CYP_induction,9,11.087470449172576,70,134,846,0.7683934426229508,0.8018980986622615,-0.318509177278292,0.6080043419444429,1.0,ns
family,Hypericaceae,receptor_antagonism,0,1.0460992907801419,59,15,846,0.0,0.4188126863648685,-1.2556229509030818,0.6165225393853184,1.0,ns
family,Schisandraceae,additive_toxicity,0,1.044917257683215,52,17,846,0.0,0.4231292517006803,-1.2408296695931242,0.6176242097424178,1.0,ns
family,Berberidaceae,transporter_modulation,0,0.9574468085106383,18,45,846,0.0,0.4653994653994654,-1.1034585413550657,0.6176935454487958,1.0,ns
family,Acanthaceae,transporter_modulation,0,0.9574468085106383,18,45,846,0.0,0.4653994653994654,-1.1034585413550657,0.6176935454487958,1.0,ns
family,Rutaceae,UGT_inhibition,0,0.9929078014184397,20,42,846,0.0,0.45021520803443327,-1.151313303787688,0.6181029032799288,1.0,ns
family,Berberidaceae,P-gp_inhibition,0,1.0638297872340425,18,50,846,0.0,0.41664436713941666,-1.2631116193017076,0.6185225770237974,1.0,ns
family,Acanthaceae,P-gp_inhibition,0,1.0638297872340425,18,50,846,0.0,0.41664436713941666,-1.2631116193017076,0.6185225770237974,1.0,ns
family,Theaceae,organ_toxicity_modulation,0,0.9645390070921985,24,34,846,0.0,0.46643005028098194,-1.100267356102867,0.6189149346444442,1.0,ns
