tier,herb_active_compound,mechanism,obs,expected,row_total,col_total,N_tier,OR_raw,OR_ha,log2_OR_ha,p,q,classification
compound,andrographolide,UGT_induction,0,0.10752688172043011,10,2,186,0.0,3.323809523809524,1.7328377085435296,1.0,1.0,ns
compound,andrographolide,antagonistic_efficacy,0,0.10752688172043011,10,2,186,0.0,3.323809523809524,1.7328377085435296,1.0,1.0,ns
compound,andrographolide,receptor_antagonism,0,0.10752688172043011,10,2,186,0.0,3.323809523809524,1.7328377085435296,1.0,1.0,ns
compound,honokiol,UGT_inhibition,0,0.6774193548387096,9,14,186,0.0,0.5934664246823956,-0.7527616830730751,1.0,1.0,ns
compound,honokiol,transporter_modulation,0,0.532258064516129,9,11,186,0.0,0.7620137299771167,-0.3921111024293362,1.0,1.0,ns
compound,honokiol,signaling_pathway_modulation,0,0.43548387096774194,9,9,186,0.0,0.9335180055401662,-0.09925024570531257,1.0,1.0,ns
compound,honokiol,organ_toxicity_modulation,0,0.2903225806451613,9,6,186,0.0,1.388663967611336,0.4736975345881346,1.0,1.0,ns
compound,honokiol,additive_toxicity,0,0.1935483870967742,9,4,186,0.0,2.0292397660818713,1.020939337692363,1.0,1.0,ns
compound,honokiol,P-gp_induction,0,0.0967741935483871,9,2,186,0.0,3.694736842105263,1.8854716119736128,1.0,1.0,ns
compound,honokiol,UGT_induction,0,0.0967741935483871,9,2,186,0.0,3.694736842105263,1.8854716119736128,1.0,1.0,ns
compound,honokiol,antagonistic_efficacy,0,0.0967741935483871,9,2,186,0.0,3.694736842105263,1.8854716119736128,1.0,1.0,ns
compound,honokiol,receptor_antagonism,0,0.0967741935483871,9,2,186,0.0,3.694736842105263,1.8854716119736128,1.0,1.0,ns
compound,paeoniflorin,receptor_synergism,1,1.3548387096774193,9,28,186,0.6944444444444444,0.9657754010695188,-0.05024037729414072,1.0,1.0,ns
compound,paeoniflorin,UGT_inhibition,0,0.6774193548387096,9,14,186,0.0,0.5934664246823956,-0.7527616830730751,1.0,1.0,ns
